,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_nba,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,season_salary,birthdate,hometown,prior_to_nba
10,Amar’e Stoudemire,United States,,All-Time Phoenix Suns,32,PF,C,2-Way 3-Level Interior Force,"6'10""",208,245,110,"7'2""",218,,,92,89,93,94,75,77,98,98,81,78,44,82,95,90,85,90,89,77,95,96,88,90,92,79,98,54,52,54,69,60,34,68,86,44,60,80,85,60,60,89,88,89,98,92,2925,,,,gold,,gold,,,,,gold,bronze,gold,bronze,gold,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypress Creek High School
11,Anderson Varejao,Brazil,,All-Time Cleveland Cavaliers,17,C,PF,2-Way Inside-The-Arc Threat,"6'11""",211,230,104,"7'3""",221,,,84,69,80,89,28,61,88,65,65,44,40,65,58,80,98,70,71,78,80,52,70,64,65,73,85,43,58,35,25,64,31,74,90,40,67,80,92,60,90,87,90,84,85,84,2508,,,,,,gold,,,,,,,,,,,,,,,,,,,,gold,,gold,,,,,gold,,gold,gold,hof,gold,,,,,,Brazil
12,Andre Drummond,United States,,All-Time Detroit Pistons,0,C,,Defensive Anchor,"6'11""",211,279,126,"7'6""",229,13,,86,65,78,47,42,59,85,80,78,54,52,95,79,89,97,81,79,80,97,85,83,55,80,63,85,45,52,45,27,70,33,76,84,52,76,82,84,80,75,98,97,98,65,87,2673,,,,,,gold,,,,,gold,,gold,,,gold,,,,,,,,,,bronze,,,,silver,,,bronze,,bronze,hof,gold,gold,,,,,,Connecticut
13,Andre Iguodala,United States,,All-Time Golden State Warriors,9,SF,PF,2-Way 3-Level Shot Creator,"6'6""",198,207,93,"6'11""",211,21,,84,78,77,74,80,64,90,85,67,76,,68,75,83,85,82,61,80,55,85,47,44,50,42,85,76,75,86,75,80,63,79,80,89,46,58,93,92,95,50,43,56,55,87,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona
14,Andre Iguodala,United States,,All-Time Philadelphia 76ers,9,SF,PF,2-Way Floor-Spacing Slasher,"6'6""",198,207,93,"6'11""",211,21,,88,84,85,83,85,73,95,85,73,88,,68,95,95,85,82,71,85,55,96,56,57,59,65,95,78,78,88,81,81,63,78,80,92,65,45,85,86,95,49,41,56,55,88,2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona
15,Andrea Bargnani,Italy,,All-Time Toronto Raptors,7,C,,2-Way 3-Level Scoring Threat,"7'0""",213,250,113,"7'5""",226,14,,84,84,85,77,90,84,89,80,78,66,52,90,75,90,95,80,72,69,75,60,84,81,88,61,60,57,65,42,54,74,48,68,84,47,62,85,75,61,65,75,72,77,80,89,2711,,,,silver,bronze,,,,,,,silver,silver,silver,gold,gold,,,,,,,,,,,,,,,,,,,silver,bronze,silver,bronze,,,,,,Lithuania
16,Andrei Kirilenko,Russia,,All-Time Utah Jazz,47,PF,SF,2-Way 3-Level Board Hunter,"6'9""",206,235,106,"7'0""",213,,,89,85,86,88,82,80,95,80,81,78,88,70,78,90,91,73,77,88,55,67,70,73,82,82,95,74,78,82,73,74,62,86,80,72,88,91,92,92,90,85,83,87,30,89,2954,,,,gold,,gold,silver,,silver,,gold,silver,,silver,,,,,gold,silver,,,,,silver,gold,gold,gold,gold,gold,gold,gold,silver,gold,gold,,,silver,,gold,,,,
17,Andrew Wiggins,Canada,,All-Time Minnesota Timberwolves,22,SF,SG,High Flyer,"6'8""",203,199,90,"7'0""",213,11,,83,84,72,84,79,76,96,98,82,81,82,48,98,98,85,83,71,82,40,95,45,77,55,84,89,66,70,76,76,69,41,63,62,69,61,45,72,75,60,46,44,47,55,85,2654,,,,,,silver,,,,,gold,,,,,,,,,,,silver,,,,,,silver,,,,,,,,,,,,,,,,Kansas
18,Antawn Jamison,United States,,All-Time Washington Wizards,4,PF,SF,3-Level Scoring Board Hunter,"6'8""",203,223,100,"7'4""",224,,,87,85,86,84,80,76,95,90,80,73,66,82,71,98,95,75,80,78,80,70,83,84,82,72,90,61,64,64,60,65,50,68,78,66,50,67,75,78,65,81,80,82,75,87,2816,,,,gold,,gold,,,,gold,silver,gold,,gold,,gold,,,,,,,,,,,,gold,,,,,,,,,,gold,,,,,,UNC
19,Anthony Davis,United States,,All-Time Los Angeles Lakers,3,PF,C,3-Level Scoring Paint Beast,"6'10""",208,253,114,"7'2""",218,13,,94,88,94,80,76,79,98,98,85,79,71,87,86,97,96,78,93,94,95,86,93,93,89,96,98,66,60,65,67,72,68,84,95,64,66,88,95,82,95,87,84,89,50,94,3097,,,,gold,,gold,gold,silver,gold,silver,gold,bronze,gold,bronze,,gold,,,bronze,,,,,,,gold,,silver,,bronze,,,gold,,gold,silver,,silver,,gold,,,,Kentucky
20,Anthony Davis,United States,,All-Time New Orleans Pelicans,23,C,PF,3-Level Scoring Paint Beast,"6'10""",208,253,114,"7'2""",218,13,,94,88,94,80,76,79,98,98,85,79,71,87,86,97,96,78,93,94,95,86,93,93,89,96,98,66,60,65,67,72,68,84,95,64,66,88,95,82,95,87,84,89,50,94,3097,,,,gold,,gold,gold,silver,gold,silver,gold,bronze,gold,bronze,,gold,,,bronze,,,,,,,gold,,silver,,bronze,,,gold,,gold,silver,,silver,,gold,,,,Kentucky
21,Anthony Edwards,United States,,All-Time Minnesota Timberwolves,5,SG,SF,2-Way Inside-Out ISO Creator,"6'4""",193,225,101,"6'9""",206,5,,91,86,95,84,84,85,70,98,87,91,90,62,97,97,90,83,75,90,50,97,60,62,62,80,98,79,74,86,85,79,72,70,59,83,53,52,80,80,80,50,36,63,70,92,2869,gold,bronze,,gold,gold,gold,silver,,gold,,gold,,,,hof,,silver,gold,silver,,silver,bronze,gold,silver,,silver,,silver,,bronze,silver,bronze,,silver,,,,,silver,gold,,,,Georgia
22,Antonio Davis,United States,,All-Time Toronto Raptors,33,C,PF,Paint Beast,"6'9""",206,215,97,"7'1""",216,,,85,77,89,80,35,82,91,85,72,55,46,80,59,94,90,80,82,70,95,80,84,72,84,83,84,41,45,35,25,66,32,73,87,46,62,75,88,70,85,88,88,87,75,85,2669,,,,,,gold,,,,,silver,gold,,gold,,,,,,,,,,,,gold,,gold,,,,,gold,,gold,gold,,gold,,,,,,Texas-El Paso
23,Antonio McDyess,United States,,All-Time Denver Nuggets,24,PF,C,2-Way Inside-The-Arc Menace,"6'9""",206,225,101,"7'0""",213,,,88,81,96,89,28,82,96,95,76,63,46,90,58,95,95,83,86,78,95,80,90,90,91,80,85,37,34,36,25,55,36,72,85,46,60,69,88,63,90,89,88,90,60,88,2718,,,,gold,,gold,,,,,gold,gold,gold,gold,,,,,,,,,,,,,,gold,,,,,gold,,,,,gold,,,,,,Alabama
24,Artis Gilmore,United States,,All-Time Chicago Bulls,53,C,,Paint Beast,"7'2""",218,240,108,"7'6""",229,,,93,80,97,80,34,77,96,95,79,65,49,95,72,96,98,81,85,82,80,65,97,92,96,90,80,47,58,44,25,54,55,81,94,49,60,97,95,80,95,96,95,97,60,93,2868,,,,,,gold,,,,gold,,gold,hof,gold,,,,,,,,,,,,gold,gold,,,,,,gold,,gold,hof,silver,gold,,gold,,,,Jacksonville University
25,Artis Gilmore,United States,,All-Time San Antonio Spurs,53,C,,Defensive Anchor,"7'2""",218,240,108,"7'6""",229,,,85,73,88,71,34,70,88,85,74,61,49,91,72,83,80,81,76,75,70,55,84,80,89,78,80,47,58,44,25,54,55,75,83,49,60,90,84,80,80,82,80,83,45,85,2619,,,,,,gold,,,,gold,gold,gold,gold,gold,,,,,,,,,,,,gold,,,,,,,silver,,silver,gold,,gold,,gold,,,,Jacksonville University
26,Arvydas Sabonis,Lithuania,,All-Time Portland Trail Blazers,11,C,PF,2-Way 3-Level Playmaker,"7'3""",221,279,126,"7'7""",231,,,88,88,90,86,80,84,95,95,68,50,28,88,57,95,72,83,76,52,85,60,89,70,87,71,90,63,82,38,25,88,83,69,84,28,61,73,85,71,80,82,74,89,80,88,2736,,,,gold,,gold,,silver,,gold,,gold,gold,gold,,gold,,gold,silver,gold,,,,,gold,gold,,silver,,,,,gold,,gold,gold,,gold,,,,,,Lithuania
27,Austin Carr,United States,,All-Time Cleveland Cavaliers,34,SG,,Shot-Creating 3-Level Threat,"6'4""",193,190,86,"6'7""",201,,,86,88,88,90,76,86,95,95,82,81,80,60,84,93,86,88,68,87,50,85,29,75,55,80,85,71,68,86,78,69,52,71,60,76,81,52,77,78,75,43,41,45,98,86,2770,silver,,,,,,gold,,gold,,silver,,,,,,,,,,,,silver,silver,,,,,,,,,,,,,,,,,,,,Notre Dame
28,Avery Johnson,United States,,All-Time San Antonio Spurs,6,PG,SG,,"5'10""",178,175,79,"6'1""",185,,,82,76,75,78,62,72,85,85,69,86,,58,75,91,90,86,45,88,25,25,25,29,25,56,85,91,94,88,91,92,92,69,55,88,63,37,82,78,80,35,32,37,40,83,2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern University and A&M College
29,Bailey Howell,United States,,All-Time Detroit Pistons,18,PF,SF,Inside The Arc Board Hunter,"6'7""",201,210,95,"6'9""",206,,,88,85,88,84,70,80,98,90,78,69,64,82,65,89,85,91,83,78,75,70,88,84,88,84,98,61,64,59,62,64,54,73,77,72,69,70,75,74,75,89,85,93,65,89,2867,,,,gold,,gold,bronze,,bronze,gold,silver,silver,silver,silver,,,,,gold,,,,,,,silver,,,,silver,silver,,,,silver,gold,gold,,,,,,,
30,Bam Adebayo,United States,,All-Time Miami Heat,13,C,,2-Way Inside-The-Arc Threat,"6'9""",206,255,115,"7'3""",221,8,,86,74,93,77,69,74,55,75,84,74,73,85,83,92,90,90,81,83,85,80,80,80,82,86,70,71,72,69,66,74,73,81,92,79,59,72,92,80,90,72,63,80,70,86,2893,,,,bronze,,gold,,silver,,silver,silver,silver,silver,silver,,gold,,bronze,silver,,,,,,,gold,,,,silver,,,gold,,gold,silver,bronze,gold,,bronze,,,,Kentucky
31,Baron Davis,United States,,All-Time Charlotte Hornets,1,PG,,3-Level Scoring Playmaker,"6'3""",191,195,88,"6'6""",198,,,85,76,70,77,80,67,80,80,88,91,89,66,89,90,95,98,58,92,25,85,38,39,42,60,84,90,88,92,91,92,88,66,25,76,85,40,78,85,70,59,55,62,65,85,2714,gold,silver,gold,silver,gold,,silver,,silver,,,,,,bronze,,silver,gold,,bronze,silver,gold,silver,silver,bronze,,,,,,,,,,,,,,,,,,,UCLA
32,Baron Davis,United States,,All-Time Golden State Warriors,5,PG,,2-Way Inside-The-Arc Playmaker,"6'3""",191,195,88,"6'6""",198,,,91,81,74,82,74,75,90,90,87,85,89,66,89,90,95,98,61,92,25,85,38,39,42,80,84,90,88,92,90,92,88,73,25,85,95,40,84,96,85,59,55,62,69,91,2819,gold,gold,gold,silver,gold,,gold,,gold,,silver,,,,gold,,silver,gold,,silver,gold,gold,silver,silver,silver,gold,gold,,gold,gold,gold,gold,,gold,,,,,,gold,,,,UCLA
33,Baron Davis,United States,,All-Time New Orleans Pelicans,1,PG,SG,2-Way 3-Level Playmaker,"6'3""",191,195,88,"6'6""",198,,,92,87,90,90,80,75,95,90,87,85,89,66,89,90,95,98,61,92,25,85,38,39,42,80,84,90,88,92,90,92,88,73,25,85,96,40,84,96,85,59,55,62,84,92,2871,gold,silver,gold,silver,gold,,gold,,gold,,,,,,gold,,silver,gold,,silver,gold,gold,silver,silver,silver,gold,gold,,gold,gold,gold,gold,,gold,,,,,,gold,,,,UCLA
34,Ben Simmons,Australia,,All-Time Philadelphia 76ers,25,PG,PF,2-Way Slashing Playmaker,"6'10""",208,230,104,"7'0""",213,9,,86,70,91,46,35,60,90,98,87,93,75,80,85,97,97,83,86,96,83,87,76,73,79,96,98,85,85,86,84,88,82,75,72,84,59,57,80,85,85,68,59,76,50,91,2941,,,,,,silver,gold,,gold,,gold,,,,bronze,,,silver,silver,silver,,,gold,,silver,bronze,gold,bronze,bronze,,,bronze,,,,bronze,,,,,,,,LSU
35,Ben Wallace,United States,,All-Time Detroit Pistons,3,C,PF,Defensive Anchor,"6'9""",206,240,108,"7'1""",216,,,89,58,71,45,25,44,98,65,82,65,61,92,85,91,98,83,67,55,80,65,60,48,58,74,98,44,54,45,30,55,34,89,98,61,77,95,98,97,99,84,82,86,50,89,2611,,,,,,gold,,,,,gold,,gold,,,gold,,,,,,,,,,hof,,hof,,,,,hof,,hof,hof,hof,gold,,hof,,,,Virginia Union University
36,Bernard King,United States,,All-Time New York Knicks,30,SF,,Inside The Arc Menace,"6'7""",201,205,92,"7'0""",213,,,89,89,95,90,68,82,98,98,86,90,88,61,94,98,90,79,85,98,55,90,84,88,74,97,90,78,75,85,84,80,68,70,72,76,70,35,76,84,80,58,60,55,70,89,2966,,,,,,,gold,,gold,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee
37,Bernard King,United States,,All-Time Washington Wizards,30,SF,,2-Way Inside-The-Arc Playmaker,"6'7""",201,205,92,"7'0""",213,,,87,87,95,82,68,82,98,98,82,78,79,61,80,98,98,79,80,89,55,80,84,79,74,93,82,82,85,80,80,84,82,75,55,79,78,44,90,92,90,55,48,62,68,87,2936,,,,,,,gold,,gold,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee
38,Bill Laimbeer,United States,,All-Time Detroit Pistons,40,C,PF,2-Way 3-Level Board Hunter,"6'11""",211,245,110,"7'3""",221,,,87,87,89,86,85,87,94,80,71,35,42,88,55,95,90,90,72,70,50,40,80,84,85,78,88,46,64,38,25,62,39,75,88,42,58,75,88,86,85,85,82,87,90,87,2687,,,,gold,gold,gold,,,,,gold,,gold,,,,,,,,,,,,,silver,,,,,,,silver,,bronze,gold,gold,gold,,,,,,Notre Dame
39,Bill Russell,United States,,All-Time Boston Celtics,6,C,PF,Diming Paint Beast,"6'10""",208,215,97,"7'4""",224,,,98,71,90,45,29,65,98,98,81,86,,92,98,98,99,96,90,87,95,95,92,78,90,85,98,63,67,45,43,94,68,91,99,69,72,99,99,99,99,98,98,98,50,98,3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco
40,Bill Sharman,United States,,All-Time Boston Celtics,21,SG,PG,All-Around Star,"6'1""",185,175,79,"6'3""",191,,,92,94,92,94,93,93,98,95,83,86,90,55,80,95,95,81,76,92,55,60,69,75,70,89,95,84,85,86,86,85,77,79,63,86,88,45,89,89,90,80,79,80,60,92,3032,silver,,gold,gold,,,gold,,gold,,gold,,,,,,,silver,,,,gold,silver,silver,,silver,,,,,silver,,,silver,,,,,silver,,,,,
41,Bill Walton,United States,,All-Time Portland Trail Blazers,32,C,PF,Playmaking Paint Beast,"6'11""",211,210,95,"7'3""",221,,,95,79,95,83,30,72,98,95,82,63,54,93,75,95,98,95,88,78,95,70,96,93,93,78,98,70,79,69,28,92,84,84,95,54,70,94,95,82,95,98,97,98,75,95,3049,,,,gold,,silver,,silver,,gold,silver,gold,gold,gold,,gold,,gold,silver,gold,,,,,gold,gold,,silver,,,,,gold,,gold,gold,silver,gold,,gold,,,,UCLA
42,Billy Cunningham,United States,,All-Time Philadelphia 76ers,32,SF,PF,2-Way Slashing Combo Forward,"6'6""",198,210,95,"6'10""",208,,,93,84,95,84,74,80,70,98,87,75,72,87,95,98,95,88,91,90,90,90,92,92,92,92,91,74,78,77,63,82,72,78,79,72,78,70,80,80,85,94,92,95,75,93,3111,,,,gold,,hof,,,,silver,gold,gold,,gold,gold,gold,,,,,,,silver,,,,,gold,,,,,,,,gold,gold,gold,,hof,,,,UNC
43,Bingo Smith,United States,,All-Time Cleveland Cavaliers,7,SG,SF,Shot-Creating 3-Level Scorer,"6'5""",196,215,97,"6'9""",206,,,84,87,80,95,87,83,84,90,79,81,76,55,80,94,75,93,68,91,55,65,44,58,65,79,90,73,74,85,75,72,60,66,59,75,60,40,77,74,75,49,46,51,75,84,2702,,,,,gold,gold,bronze,,bronze,,,,,,,,,,,,silver,,silver,silver,,,,,,,,,,,,,,,gold,,,,,Tulsa
44,B.J. Armstrong,United States,,All-Time Chicago Bulls,10,PG,SG,3-Level Scoring Playmaker,"6'2""",188,175,79,"6'5""",196,,,87,91,88,87,93,83,98,95,77,83,83,40,74,95,84,82,46,84,25,25,25,29,25,69,88,88,89,86,85,90,88,57,25,73,65,27,72,69,65,39,33,45,98,87,2552,,gold,,,,,silver,,silver,,,,,,,,bronze,,,silver,,silver,gold,gold,silver,,bronze,,,,,,,,,,,,,,,,,Iowa
45,Blake Griffin,United States,,All-Time Los Angeles Clippers,32,PF,C,Playmaking 3-Level Threat,"6'10""",208,251,113,"6'11""",211,16,,90,88,92,88,77,76,98,98,76,68,,94,90,95,95,88,87,78,99,98,79,79,92,83,91,71,72,75,61,74,72,62,79,42,61,47,72,70,65,85,82,88,60,90,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma
46,Bob Cousy,United States,,All-Time Boston Celtics,14,PG,,All-Around Star,"6'1""",185,175,79,"6'9""",206,,,96,93,88,96,95,84,98,95,85,95,92,56,80,98,90,81,61,95,25,25,45,61,55,88,97,96,98,92,95,98,97,73,30,91,94,30,89,90,90,74,70,78,83,96,2960,gold,gold,,,gold,,hof,,hof,,silver,,,,,,gold,,silver,gold,,gold,,,gold,,gold,,gold,,,gold,,gold,,,,,,,,,,Holy Cross
47,Bob Dandridge,United States,,All-Time Milwaukee Bucks,10,SF,SG,2-Way 3-Level Point Forward,"6'6""",198,195,88,"6'9""",206,,,88,88,92,89,77,83,94,95,82,73,82,60,85,96,95,85,77,90,46,70,78,80,82,77,95,78,72,75,74,95,75,73,60,82,76,55,81,75,85,71,72,70,68,88,2927,,,,gold,,gold,bronze,,bronze,,gold,,,,,,,,,,,,,,,,,gold,,,gold,,,silver,,,,,,,,,,Norfolk State
48,Bob Lanier,United States,,All-Time Detroit Pistons,16,C,,2-Way Inside-The-Arc Menace,"6'11""",211,250,113,"7'3""",221,,,93,85,97,94,42,82,97,98,76,76,56,94,65,90,70,82,85,83,85,55,88,86,96,89,95,57,64,50,34,72,66,70,86,56,50,78,88,55,80,97,96,97,55,93,2840,,,,gold,,hof,gold,,gold,gold,gold,gold,hof,gold,gold,gold,,,,,,,,,,,,gold,,,,,gold,,,gold,gold,gold,,,,,,St. Bonaventure
49,Bob Love,United States,,All-Time Chicago Bulls,10,PF,SF,2-Way Inside-The-Arc Menace,"6'8""",203,240,108,"7'0""",213,,,89,89,94,89,72,84,97,98,79,69,79,82,62,95,78,85,86,84,80,75,90,90,86,88,95,55,55,62,55,70,35,70,82,51,60,67,83,70,80,78,74,81,80,89,2866,,,,gold,,gold,,,,,,gold,,gold,,,,,gold,,,,,,,gold,,gold,,,,,gold,gold,gold,,,gold,,,,,,Southern University and A&M College
50,Bob McAdoo,United States,,All-Time Los Angeles Clippers,11,C,PF,2-Way Inside-The-Arc Menace,"6'9""",206,210,95,"7'1""",216,,,94,79,97,89,30,81,80,95,83,78,65,85,85,95,90,84,93,94,98,95,95,92,96,90,80,66,78,75,31,70,74,81,88,65,65,94,88,85,85,97,96,98,55,94,3035,,,,gold,,hof,gold,,gold,gold,gold,gold,gold,gold,gold,gold,,,,,,,,,,,,gold,,,,,gold,,,gold,gold,gold,,gold,,,,UNC
51,Bob Netolicky,United States,,All-Time Indiana Pacers,24,PF,C,2-Way Inside-The-Arc Threat,"6'9""",206,220,99,"7'1""",216,,,88,81,94,74,57,72,98,90,78,75,53,85,80,90,80,84,86,74,80,75,91,91,92,88,95,62,69,69,50,70,52,75,85,53,70,75,80,78,85,94,93,94,35,88,2864,,,,,,gold,,silver,,gold,gold,gold,gold,gold,,gold,,gold,,,,,,,,gold,,,,,,,,,silver,gold,gold,gold,,,,,,
52,Bob Pettit,United States,,All-Time Atlanta Hawks,9,PF,C,2-Way 3-Level Scorer,"6'9""",206,205,92,"7'1""",216,,,95,95,98,95,96,82,98,98,82,66,49,88,82,98,98,92,90,77,90,75,94,96,95,97,95,64,62,62,59,69,70,76,82,49,76,88,82,78,80,97,95,98,55,95,3059,gold,silver,,hof,gold,gold,,,,silver,gold,gold,,gold,,,,,,,,,,,,,,,,,,,,,,gold,gold,gold,,gold,,,,LSU
