,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
13,Amen Thompson,United States,,Houston Rockets,1,SG,SF,2-Way Rim Attacker,"6'7""",201,200,90,"7'0""",213,,2,"January 30, 2003","Oakland, California",Overtime Elite,87,78,93,70,69,69,85,80,86,95,90,59,99,95,85,80,66,87,60,96,44,48,44,50,95,80,80,86,90,80,64,85,78,93,80,78,88,90,90,69,67,70,80,92,2899,,,,,,,silver,,bronze,,bronze,,,,bronze,,,,bronze,,,silver,silver,,bronze,gold,gold,gold,silver,gold,gold,gold,bronze,silver,,,gold,,,gold
14,Andre Drummond,United States,,Philadelphia 76ers,1,C,,Board-Hunting Lob Threat,"6'11""",211,279,126,"7'6""",229,,13,"August 10, 1993","Mount Vernon, New York",Connecticut,78,59,91,47,47,62,60,45,79,60,58,95,79,89,90,81,68,66,85,80,70,45,67,40,90,50,52,45,49,70,32,70,77,52,86,62,74,70,70,93,92,94,40,80,2492,,,,,,bronze,,bronze,,gold,,,silver,,,silver,,,,,,,,,,,,,,bronze,,,,,,gold,silver,gold,,bronze
15,Andre Jackson Jr.,United States,,Milwaukee Bucks,44,SF,PG,2-Way Inside-Out Threat,"6'6""",198,209,94,"6'10""",208,,2,"November 13, 2001","Amsterdam, New York",UConn,74,66,77,68,81,70,70,30,80,87,87,50,84,90,80,80,57,70,40,90,43,44,44,37,87,63,69,69,74,64,41,68,53,80,46,55,80,81,80,58,60,56,65,78,2460,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,bronze,bronze,bronze,gold,silver,,,,,,,,
16,Andrew Nembhard,Canada,,Indiana Pacers,2,SG,PG,2-Way 3-Level Shot Creator,"6'4""",193,191,86,"6'6""",198,,3,"January 16, 2000","Aurora, Canada",Gonzaga,81,81,95,97,77,79,70,70,74,76,88,46,71,85,69,80,56,80,39,60,44,52,47,54,75,77,80,79,74,80,71,76,68,88,82,37,85,84,85,44,35,52,70,84,2608,silver,,silver,silver,gold,,gold,,bronze,,,,,,,,,,,,silver,,silver,,,gold,gold,,,silver,silver,silver,,silver,,,,,,
17,Andrew Wiggins,Canada,,Miami Heat,22,SF,PF,Shot-Creating 3-Level Threat,"6'7""",201,197,89,"7'0""",213,,11,"February 23, 1995","Toronto, Canada",Kansas,81,79,94,79,81,77,70,70,83,82,82,57,97,87,90,83,70,77,40,85,65,74,77,60,85,66,62,79,80,60,50,63,55,74,46,66,70,67,65,51,50,51,70,85,2642,bronze,,,bronze,bronze,bronze,,,silver,,silver,,,,silver,,,bronze,,,,,,,,bronze,,bronze,,,silver,silver,,,,,,,,silver
18,Anfernee Simons,United States,,Boston Celtics,1,SG,PG,Walking Bucket,"6'3""",191,181,81,"6'9""",206,,7,"June 8, 1999","Altamonte Springs, Florida",IMG Academy (FL),81,85,84,95,82,91,70,90,81,86,89,41,90,92,90,80,68,84,40,89,49,49,49,87,95,79,78,86,79,79,71,46,49,59,41,30,50,55,40,38,31,45,60,84,2559,bronze,,bronze,silver,bronze,,,,silver,,silver,,,,silver,,bronze,bronze,,,,bronze,,,bronze,,,,,,,,,,,,,,silver,
19,Anthony Black,United States,,Orlando Magic,0,PG,SG,Defensive Menace,"6'7""",201,200,90,"6'8""",203,,2,"January 20, 2004","Las Colinas, Texas",Arkansas,80,73,82,71,79,75,80,50,79,75,85,58,75,92,90,80,62,85,35,75,48,52,52,64,85,77,80,86,74,77,69,75,63,84,66,63,84,82,80,46,40,52,95,84,2667,,,,bronze,,,bronze,,,,,,,,,,,,,,,,,,,silver,,silver,bronze,,silver,bronze,,,,,,,,
20,Anthony Davis,United States,,Dallas Mavericks,3,C,PF,2-Way Inside-The-Arc Menace,"6'10""",208,253,114,"7'6""",229,,13,"March 11, 1993","Chicago, Illinois",Kentucky,93,84,88,88,71,79,90,90,87,79,78,92,86,97,98,78,88,82,90,85,85,89,85,95,95,68,60,75,67,72,65,85,95,80,53,87,93,90,95,79,67,91,95,95,3100,,,,bronze,,gold,bronze,silver,gold,gold,gold,silver,gold,silver,silver,silver,,,,silver,,,gold,,,,,gold,bronze,,,,gold,,gold,silver,silver,silver,,gold
21,Anthony Edwards,United States,,Minnesota Timberwolves,5,SG,SF,2-Way Inside-Out ISO Creator,"6'4""",193,225,101,"6'9""",206,,5,"August 5, 2001","Atlanta, Georgia",Georgia,95,87,87,77,87,84,90,98,87,91,90,62,97,97,90,83,78,96,50,97,60,62,62,98,98,80,79,86,85,80,70,71,59,87,43,56,84,84,85,50,36,63,85,95,2933,gold,bronze,,gold,gold,gold,silver,,gold,,gold,,,,hof,,silver,gold,silver,,silver,silver,gold,silver,bronze,silver,,silver,,bronze,silver,bronze,,silver,,,,,silver,gold
22,Antonio Reeves,United States,,Charlotte Hornets,12,SG,SF,Catch & Shoot Ace,"6'3""",191,195,88,"6'7""",201,,1,"November 20, 2000","Chicago, Illinois",Kentucky,73,81,89,75,86,84,75,75,73,83,78,39,75,85,70,80,52,80,30,70,39,36,39,40,80,61,62,70,73,62,36,45,32,60,42,40,52,48,40,41,40,41,70,77,2253,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ariel Hukporti,Germany,Togo,New York Knicks,55,C,PF,Rim Protector,"7'0""",213,250,113,"7'3""",221,,1,"April 12, 2002","Stralsund, Germany","Riesen Ludwigsburg (BBL, Germany)",70,56,63,57,47,61,75,35,68,47,37,68,68,80,95,82,61,59,75,75,54,50,52,50,75,41,43,45,40,44,34,50,60,37,25,89,57,40,45,68,62,73,80,71,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,silver,,,
24,Ausar Thompson,United States,,Detroit Pistons,9,SF,PF,2-Way Rim Attacker,"6'6""",198,205,92,"7'0""",213,,2,"January 30, 2003","Oakland, California",Overtime Elite,81,62,85,63,56,60,40,65,86,94,90,50,98,95,95,80,64,84,60,92,45,46,45,56,85,76,75,83,88,75,58,84,79,86,96,67,88,86,85,67,68,65,65,84,2732,,,,,,silver,,,,,,,,,bronze,,,,,,,,silver,,,silver,gold,gold,silver,gold,bronze,gold,,,,,silver,,,gold
25,Austin Reaves,United States,,Los Angeles Lakers,15,SG,PG,Shot-Creating 3-Level Threat,"6'5""",196,197,89,"6'6""",198,,4,"May 29, 1998","Newark, Arkansas",Oklahoma,85,89,92,82,84,87,95,95,77,83,83,44,81,85,80,80,57,87,25,70,31,32,32,95,85,77,78,79,78,79,72,58,35,73,46,45,73,70,65,46,39,53,95,87,2595,gold,bronze,,silver,gold,,gold,,silver,,,,,,,,bronze,gold,silver,,bronze,,silver,,,,,,,,,,,,,,,,silver,
26,Ayo Dosunmu,United States,,Chicago Bulls,11,SG,PG,Shot-Creating 3-Level Threat,"6'5""",196,200,90,"6'10""",208,,4,"January 17, 2000","Compton, California",Illinois,78,82,87,91,76,79,80,80,74,76,78,52,75,85,75,80,56,86,25,75,35,50,42,50,87,75,72,79,73,79,70,57,38,69,42,51,68,69,65,43,35,50,60,79,2463,bronze,,,,bronze,,bronze,,,,,,,,,,,,bronze,,,,silver,,,,,,,,,,,,,,,,,
27,Bam Adebayo,United States,,Miami Heat,13,C,,2-Way 3-Level Scoring Threat,"6'9""",206,255,115,"7'3""",221,,8,"July 18, 1997","Newark, New Jersey",Kentucky,88,82,88,88,78,76,80,80,85,74,84,85,83,92,90,90,80,82,85,80,80,82,82,60,90,70,72,69,66,74,70,81,94,88,53,60,94,80,95,73,63,83,75,90,2955,,,,,,silver,bronze,silver,silver,silver,bronze,silver,silver,silver,,silver,,bronze,silver,gold,,,silver,,bronze,,,silver,gold,,,bronze,gold,,gold,silver,bronze,silver,,gold
28,Baylor Scheierman,United States,,Boston Celtics,55,SG,SF,Perimeter Shot Creator,"6'7""",201,205,92,"6'11""",211,,1,"September 26, 2000","Hastings, Nebraska",Creighton,71,75,73,80,80,85,70,60,73,86,64,54,54,90,85,80,49,71,40,55,30,48,40,44,66,65,70,71,75,69,42,49,47,56,59,40,57,47,40,54,53,55,80,79,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ben Sheppard,United States,,Indiana Pacers,26,SG,SF,Perimeter Shot Creator,"6'6""",198,190,86,"6'8""",203,,2,"July 16, 2001","Atlanta, Georgia",Belmont,74,78,83,78,78,91,75,60,79,84,84,54,75,85,90,80,56,78,35,60,48,49,47,49,80,65,70,73,74,70,36,65,54,79,43,50,78,75,75,50,45,55,50,80,2470,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,bronze,,,,,,,,,,
30,Bennedict Mathurin,Canada,,Indiana Pacers,00,SF,SF,Inside-Out Shot Creator,"6'5""",196,210,95,"6'9""",206,,3,"June 19, 2002","Montreal, Canada",Arizona,81,77,93,70,77,83,50,90,80,84,84,54,82,92,85,80,66,78,35,80,55,58,55,75,90,71,75,79,81,82,36,54,42,69,37,51,65,62,50,56,47,65,70,84,2545,silver,,,silver,silver,,silver,,bronze,,gold,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,bronze,
31,Bilal Coulibaly,France,,Washington Wizards,0,SG,SF,Defensive Menace,"6'8""",203,195,88,"7'2""",218,,2,"July 26, 2004","Saint-Cloud, France",Metropolitans 92 (France),80,75,72,51,75,75,95,80,81,82,85,63,85,92,80,80,64,84,60,85,50,50,50,50,80,68,69,72,64,72,61,70,67,80,53,58,78,78,75,50,47,52,95,87,2632,,,,,,,bronze,,bronze,,bronze,,,,,,,bronze,,,,,,,bronze,silver,silver,,,bronze,bronze,,,silver,,,,,,bronze
32,Blake Wesley,United States,,Portland Trail Blazers,14,PG,SG,Rim Attacker,"6'3""",191,185,83,"6'9""",206,,3,"March 16, 2003","South Bend, Indiana",Notre Dame,72,66,69,60,71,64,70,60,75,78,78,40,84,92,75,80,63,74,40,86,54,57,50,59,80,73,69,83,77,68,70,60,49,71,86,40,60,63,50,41,39,42,80,80,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bobby Portis,United States,,Milwaukee Bucks,9,PF,C,3-Level Scoring Threat,"6'10""",208,250,113,"7'2""",218,,10,"February 10, 1995","Little Rock, Arkansas",Arkansas,81,84,93,79,80,82,75,95,76,65,64,83,64,85,90,84,78,74,75,70,83,83,83,74,85,53,55,52,59,52,47,61,78,40,41,60,75,65,65,75,63,87,80,83,2668,,,,bronze,,,,bronze,,bronze,,bronze,bronze,bronze,,bronze,,,,,,,,,,,,,,,,,,,,gold,bronze,silver,,
34,Bobi Klintman,Sweden,,Detroit Pistons,34,PF,SF,Promising Prospect,"6'10""",208,225,101,"7'0""",213,,1,"March 6, 2003","Malmö, Sweden","Cairns Taipans (NBL, Australia)",69,67,68,70,74,80,60,50,74,75,68,55,72,90,75,80,61,69,65,75,49,50,50,47,80,63,68,70,68,68,43,60,57,64,62,57,60,62,55,46,41,51,60,79,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bogdan Bogdanovic,Serbia,,Los Angeles Clippers,10,SG,SF,Perimeter Shot Creator,"6'5""",196,225,101,"6'11""",211,,11,"August 18, 1992","Belgrade, Serbia",Serbia,80,86,93,95,80,87,70,90,75,75,75,63,78,89,67,77,64,79,50,65,62,57,57,59,85,73,74,79,73,79,60,53,51,63,43,45,60,60,50,44,34,53,50,80,2507,silver,,,gold,silver,,silver,,bronze,,,,,,,,,silver,bronze,,,,bronze,,,,,,,,,,,,,,,,gold,
36,Bradley Beal,United States,,Los Angeles Clippers,3,SG,PG,Inside-Out ISO Specialist,"6'4""",193,207,93,"6'8""",203,,13,"June 28, 1993","St. Louis, Missouri",Florida,81,82,97,85,84,81,65,80,81,76,83,62,87,98,78,82,66,89,30,84,55,55,54,65,92,79,82,88,76,85,65,56,45,66,46,56,75,65,40,42,36,47,40,90,2584,gold,bronze,silver,gold,silver,,silver,,silver,,silver,,,,,,silver,silver,,,bronze,silver,,,silver,,,,,,,,,,,,,,gold,
37,Branden Carlson,United States,,Oklahoma City Thunder,15,C,,Stretch Five,"7'0""",213,220,99,"7'4""",224,,1,"June 14, 1999","South Jordan, Utah",Utah,71,72,72,72,82,71,80,55,60,35,30,60,57,85,70,80,65,47,65,60,64,65,65,68,85,39,47,37,27,47,38,39,52,30,25,37,57,39,35,67,53,81,80,71,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Brandin Podziemski,United States,,Golden State Warriors,2,SG,PG,Shot-Creating 3-Level Threat,"6'4""",193,205,92,"6'6""",198,,2,"February 25, 2003","Greenfield, Wisconsin",Santa Clara,81,85,97,80,83,76,80,95,79,82,82,54,78,89,85,80,61,87,35,60,54,55,55,60,85,73,69,80,81,68,67,55,45,63,59,42,62,72,45,56,45,67,75,82,2574,bronze,bronze,,silver,silver,,bronze,,,,,,,,,,,bronze,bronze,,,,bronze,,,,,,,,bronze,,,bronze,,,,,,
39,Brandon Clarke,Canada,,Memphis Grizzlies,15,C,PF,2-Way Inside-The-Arc Threat,"6'8""",203,215,97,"6'8""",203,,6,"September 19, 1996","Vancouver, Canada",Gonzaga,80,71,97,78,57,70,60,65,83,84,83,64,82,90,95,80,73,87,80,84,63,62,62,69,80,58,59,69,65,62,33,73,80,75,59,65,80,72,80,72,75,68,75,80,2689,,,,,,silver,,,,,bronze,,,,bronze,bronze,,,,,,,,,,,,gold,,,,,,,,,,,,gold
40,Brandon Ingram,United States,,Toronto Raptors,3,SF,PF,Mid-Range Slasher,"6'8""",203,190,86,"7'3""",221,,9,"September 2, 1997","Kinston, North Carolina",Duke,84,86,92,89,81,86,75,95,75,74,74,42,77,95,80,85,79,90,65,80,64,70,70,92,98,76,75,85,70,79,73,59,61,69,41,56,75,68,40,52,39,65,50,88,2708,silver,,,silver,gold,,gold,,gold,,bronze,,,,,,silver,,,,bronze,,silver,,silver,,,,,,,,,,,,,,bronze,silver
41,Brandon Miller,United States,,Charlotte Hornets,24,SF,SG,Shot-Creating 3-Level Threat,"6'7""",201,200,90,"7'1""",216,,2,"November 22, 2002","Antioch, Tennessee",Alabama,82,82,77,76,79,86,90,85,79,78,82,51,85,95,80,80,63,80,55,87,40,64,47,53,80,76,75,86,78,75,66,61,50,73,43,62,67,68,65,48,38,57,90,90,2633,bronze,,,silver,silver,silver,,,bronze,,,,,,,,bronze,silver,bronze,,bronze,,bronze,,,,,,,,,,,,,,,,silver,gold
42,Brandon Williams,United States,,Dallas Mavericks,10,PG,SG,3-Level Scoring Threat,"6'1""",185,190,86,"6'6""",198,,4,"November 22, 1999","Los Angeles, California",Arizona,77,84,88,91,80,85,80,80,76,79,79,62,68,89,75,81,56,82,25,50,27,46,50,75,90,76,75,79,77,79,71,52,33,62,73,40,57,52,45,44,38,49,50,77,2439,,,bronze,,bronze,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Brice Sensabaugh,United States,,Utah Jazz,28,SF,SG,Perimeter Shot Creator,"6'5""",196,235,106,"6'7""",201,,2,"October 30, 2003","Orlando, Florida",Ohio State,77,83,97,74,85,91,75,75,72,65,67,64,70,88,70,79,61,80,35,60,57,59,57,41,95,61,65,74,62,63,43,47,50,55,43,37,55,54,35,49,41,56,60,81,2358,bronze,,,bronze,silver,,bronze,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bronny James,United States,,Los Angeles Lakers,9,SG,PG,Rim Attacker,"6'3""",191,190,86,"6'7""",201,,1,"October 6, 2004","Cleveland, Ohio",USC,68,59,69,63,70,73,50,30,83,87,87,60,90,90,90,80,51,68,35,80,37,37,30,37,85,65,67,70,84,65,41,59,47,72,57,44,70,60,65,46,42,50,50,82,2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Brook Lopez,United States,,Los Angeles Clippers,11,C,,2-Way 3-Level Scoring Threat,"7'1""",216,282,127,"7'6""",229,,17,"April 1, 1988","North Hollywood, California",Stanford,81,85,98,86,81,85,75,85,71,25,60,89,60,92,90,79,75,60,80,65,80,80,80,60,95,41,35,35,25,78,34,75,89,45,37,86,94,78,95,52,50,54,95,83,2618,,bronze,,bronze,,,,silver,,bronze,,bronze,,,,,,,,,,,,,,,,silver,,,,,gold,,gold,,,silver,,silver
46,Bruce Brown,United States,,Denver Nuggets,00,PG,SG,3 & D Threat,"6'4""",193,202,91,"6'9""",206,,7,"August 15, 1996","Boston, Massachusetts",Miami (FL),76,73,74,60,75,85,75,70,81,78,78,75,80,92,80,84,54,72,30,70,28,34,42,60,95,74,79,79,76,87,49,65,58,77,53,51,79,75,65,56,48,63,70,80,2526,,,,,,,bronze,,,,silver,,,,,,,,,,,,gold,bronze,,,,,,,,,,,,,,bronze,,silver
47,Bryce McGowens,United States,,New Orleans Pelicans,11,SF,SG,Shot-Creating 3-Level Threat,"6'6""",198,175,79,"6'9""",206,,3,"November 8, 2002","Pendleton, South Carolina",Nebraska,71,69,87,79,77,73,55,40,74,74,75,48,81,85,75,80,57,74,40,80,42,42,42,55,78,57,52,74,72,50,35,55,37,66,40,51,65,60,65,44,35,52,85,77,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bub Carrington,United States,,Washington Wizards,8,PG,SG,Perimeter Shot Creator,"6'5""",196,180,81,"6'9""",206,,1,"July 21, 2005","Baltimore, Maryland",Pittsburgh,79,84,87,92,79,83,80,80,76,82,72,54,75,89,80,80,60,75,35,60,54,55,55,57,85,78,79,86,77,79,70,45,40,55,38,42,52,52,35,45,32,58,85,83,2472,,,,bronze,bronze,,bronze,,,,,,,,,,bronze,bronze,bronze,,bronze,,silver,bronze,silver,,,,,,,,,,,,,,,
49,Buddy Hield,Bahamas,,Golden State Warriors,7,SG,SF,3PT Shot Creator,"6'4""",193,220,99,"6'9""",206,,9,"December 17, 1992","Freeport, Bahamas",Oklahoma,77,74,97,56,85,78,75,50,72,75,78,41,78,90,60,82,55,75,25,65,28,45,48,59,94,67,70,79,74,70,42,55,48,69,56,51,54,60,50,47,38,56,75,82,2358,gold,gold,gold,gold,gold,,silver,,,,,,,,,,,bronze,silver,,bronze,bronze,,,,,,,,,,,,,,,,,gold,
50,Cade Cunningham,United States,,Detroit Pistons,2,PG,SG,Playmaking Inside-Out Scorer,"6'6""",198,220,99,"7'0""",213,,4,"September 25, 2001","Arlington, Texas",Oklahoma State,92,89,94,85,83,86,90,98,82,83,83,62,80,94,90,80,72,94,40,75,60,62,60,88,98,88,90,86,83,92,91,66,59,75,42,60,75,76,75,52,37,67,95,96,2884,silver,,,silver,gold,,gold,,gold,bronze,gold,,,,,,silver,gold,gold,gold,gold,bronze,gold,silver,gold,,,,,,,,,,,,silver,,,silver
